,Coffee,Camera,Lunch,SmartPhone,Kitchen,Average
Boulware-Boulware,67.167%,38.833%,61.833%,50.333%,94.667%,62.567%
Boulware-Conceder,86.000%,84.167%,90.333%,80.667%,96.333%,87.500%
Boulware-Linear,99.333%,84.500%,82.333%,82.500%,100.000%,89.733%
Boulware-Atlas3,87.500%,78.167%,79.833%,72.000%,97.000%,82.900%
Conceder-Conceder,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%
Conceder-Linear,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%
Conceder-Atlas3,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%
Linear-Linear,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%
Linear-Atlas3,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%
Atlas3-Atlas3,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%
Average,94.000%,88.567%,91.433%,88.550%,98.800%,92.270%
